Nombre del Producto,Ingrediente Activo,Grupo,Presentación,Tipo de Cultivo
ATRAZINA VECOL 90% W.G,Atrazina 900 g/Kg,HERBICIDAS,Bolsas de 1 y 10 kg,MAÍZ
ATRAZINA VECOL 90% W.G,Atrazina 900 g/Kg,HERBICIDAS,Bolsas de 1 y 10 kg,SORGO
AZOXYTOP VECOL 325 SC,Azoxystrobin 200 gr/L + Difenoconazol 125 gr/L,FUNGICIDAS,"Envases de 250 mL, 500 mL, 1, 4 y 20 litros",TOMATE
AZOXYTOP VECOL 325 SC,Azoxystrobin 200 gr/L + Difenoconazol 125 gr/L,FUNGICIDAS,"Envases de 250 mL, 500 mL, 1, 4 y 20 litros",ARROZ
AZOXYTOP VECOL 325 SC,Azoxystrobin 200 gr/L + Difenoconazol 125 gr/L,FUNGICIDAS,"Envases de 250 mL, 500 mL, 1, 4 y 20 litros",ALGODÓN
BENZOMECTINA VECOL 5% SG,Benzoato de Emamectina 50 g/Kg,INSECTICIDAS,"Frascos por 100 y 500 g y 1, 10 y 25 Kilos",ALGODÓN
BENZOMECTINA VECOL 5% SG,Benzoato de Emamectina 50 g/Kg,INSECTICIDAS,"Frascos por 100 y 500 g y 1, 10 y 25 Kilos",MAÍZ
BETACIFLUTRIN VECOL 25 EC,Beta-Cyfluthrin 25 g/L,INSECTICIDAS,"Frascos por 100, 500 cc, 250 ml  y 1, 4 y 20 litros.",PAPA
BYSPIRIBAC VECOL 400 SC.,Byspiribac Sodium: 400 gr/ L,HERBICIDAS,"Envases de 125, 250, 500 mL y 1 L.",ARROZ
CARBENDAZIM VECOL 500 SC,Carbendazim 500g/litro,FUNGICIDAS,Frascos por 1 y 20 Litros,ROSAS
CARBENDAZIM VECOL 500 SC,Carbendazim 500g/litro,FUNGICIDAS,Frascos por 1 y 20 Litros,ARROZ
CLOMAZONE VECOL 480 EC,Clomazone 480 gr/L,HERBICIDAS,"Frascos de 1, 4, 10 y 20 Litros",ARROZ
CLORIMURON VECOL 25% WG,Chlorimuron 250 gr/Kg,HERBICIDAS,Sobres por 50 y 100 g,SOYA
CYTOZYME BORO (BO) X 1LCJX12FC,"Boro (B) 70,0 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
CYTOZYME CALCIO(CA) X1LCJX12FC,"Calcio (CaO) 170,00 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
CYTOZYME MAGNESIO MGX1LCJX12FC,"Magnesio (MgO) 110,00 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
CYTOZYME NPK X 1L CJ X 12 FC,"Nitrógeno total (N) 50,00 g/l Nitrógeno orgánico(N) 15,0 g/l Nitrógeno ureico(N) 35,0 g/l Fósforo asimilable(P2O5) 240,0 g/l Potasio 240,0 g/l.",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
CYTOZYME POTASIO(K)X 1LCJX12FC,"Potasio soluble en agua(K2O) 250,0 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
CYTOZYME SEED X 10 KG PAIL,"Calcio (CaO) 5,70 % Magnesio (MgO) 3,30 % Azufre total (S) 4,00 % Hierro (Fe 1,00 % Manganeso (Mn) 0,25 % Zinc (Zn)",FERTILIZANTES FOLIARES,Presentación caneca por 10 Kilogramos,TOMATE
CYTOZYME ZINC (ZN) X 1LCJX12FC,"Zinc (Zn) 110,0 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
DIFENOCONAZOL VECOL 250 E.C.,Difenoconazole 250g/L,FUNGICIDAS,Frascos 1 L,TOMATE
DIFENOCONAZOL VECOL 250 E.C.,Difenoconazole 250g/L,FUNGICIDAS,Frascos 1 L,YUCA
DIFENOPROPICONAZOL VECOL 500 E.C.,Difenoconazole 250 gr/ L + Propiconazole 250 gr/ L,FUNGICIDAS,"Envases de 250, 500 ml y 1 litro",ARROZ
DIFENOPROPICONAZOL VECOL 500 E.C.,Difenoconazole 250 gr/ L + Propiconazole 250 gr/ L,FUNGICIDAS,"Envases de 250, 500 ml y 1 litro",ALGODÓN
DIFENOPROPICONAZOL VECOL 500 E.C.,Difenoconazole 250 gr/ L + Propiconazole 250 gr/ L,FUNGICIDAS,"Envases de 250, 500 ml y 1 litro",MAÍZ
DIMETHALONIL VECOL 65% WG,Dimethomorph 150 gr/Kg + Clorothalonil 500 gr/Kg,FUNGICIDAS,"Frascos por 500 g, 1, 5, 10 y 25 litros",ROSAS
DIMETHOMORF VECOL 50% WP,Dimethomorph 500 g/KG,FUNGICIDAS,Bolsa por 120 y 500 g,PAPA
FIPRONIL VECOL 200 SC.,Fipronil 200 gr/L,INSECTICIDAS,"Envases de 250 ml, 500 ml y 1, 4 y 20  litros",ALGODÓN
FIPRONIL VECOL 200 SC.,Fipronil 200 gr/L,INSECTICIDAS,"Envases de 250 ml, 500 ml y 1, 4 y 20  litros",ARROZ
FIPRONIL VECOL 200 SC.,Fipronil 200 gr/L,INSECTICIDAS,"Envases de 250 ml, 500 ml y 1, 4 y 20  litros",PAPA
FLOWER CROP,"Azufre (S) 68,20 g/l Cobre (Cu) 15,62 g/l Hierro (Fe) 2,10 g/l Manganeso (Mn) 34,50 g/l Zn (Zn) 25,30 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,ROSAS
GLIFOSATO VECOL 480 SL,Glifosato 480 g/Litro,HERBICIDAS,"Envases 1, 4, 10, 20 y 200  litros",ARROZ
GLIFOSATO VECOL 480 SL,Glifosato 480 g/Litro,HERBICIDAS,"Envases 1, 4, 10, 20 y 200  litros",POTREROS
HORTICROP,"Nitrógeno total (N) 72,00 g/l Fósforo asimilable (P2O5) 48,00 g/l Potasio soluble en agua (K2O) 36,00 g/l Azufre (S) 12,00 g/l Boro (B) 0,24 g/l Cobalto (Co) 0,18 g/l Cobre (Cu) 3,36 g/l Hierro (Fe) 4,30 g/l Manganeso (Mn) 3,60 g/l Zinc (Zn) 7,20 g/l",FERTILIZANTES FOLIARES,Frascos 1 L,TOMATE
IMIDACLOPRID VECOL 350 SC,Imidacloprid 350g/litro,INSECTICIDAS,"Envases de 100 ml, 500 ml, 1 y 4 litros",ROSAS
IMIDACLOPRID VECOL 350 SC,Imidacloprid 350g/litro,INSECTICIDAS,"Envases de 100 ml, 500 ml, 1 y 4 litros",POTREROS
IMIDACLOPRID VECOL 350 SC,Imidacloprid 350g/litro,INSECTICIDAS,"Envases de 100 ml, 500 ml, 1 y 4 litros",TOMATE
LUFENIL VECOL 300SC,Fipronil 200 gr/L - Lufenuron 100 gr/L,INSECTICIDAS,"Envases de 100, 250 y 500 cc, 1, 4 y 20 litros.",PAPA
LUFENURON VECOL 50 EC,Lufenuron 50 gr/L,INSECTICIDAS,Frascos por 500 mL y 1 Litro,ALGODÓN
LUFENURON VECOL 50 EC,Lufenuron 50 gr/L,INSECTICIDAS,Frascos por 500 mL y 1 Litro,TOMATE
MANCOZEB + CYMOXANIL VECOL 72% WP,Mancozeb 640 g/kilo - Cymoxanil 80 g/Kilo,FUNGICIDAS,Bolsa por 500 gramos,PAPA
MANCOZEB + CYMOXANIL VECOL 72% WP,Mancozeb 640 g/kilo - Cymoxanil 80 g/Kilo,FUNGICIDAS,Bolsa por 500 gramos,TOMATE
MANCOZEB VECOL 80% WP.,Mancozeb 640 g/Kilo,FUNGICIDAS,Bolsa por 1 kilo,PAPA
MANCOZEB VECOL 80% WP.,Mancozeb 640 g/Kilo,FUNGICIDAS,Bolsa por 1 kilo,TOMATE
MANCOZEB VECOL 80% WP.,Mancozeb 640 g/Kilo,FUNGICIDAS,Bolsa por 1 kilo,ARROZ
MATANCHA® SL,"2,4D..(2,4-D Dichlorophenoxy) acetic acid 480g/L",HERBICIDAS,"Envases de 1 , 4, 10 y 20 Litros",POTREROS
METHOLACLOR VECOL 960 E.C.,S-Metholaclor: 960 gr/L,HERBICIDAS,"Envases de 1, 4 y 20 litros",MAIZ
METHOLACLOR VECOL 960 E.C.,S-Metholaclor: 960 gr/L,HERBICIDAS,"Envases de 1, 4 y 20 litros",SORGO
METHOLACLOR VECOL 960 E.C.,S-Metholaclor: 960 gr/L,HERBICIDAS,"Envases de 1, 4 y 20 litros",YUCA
METSULFURON + PICLORAM VECOL,Metsulfuron methyl 600 g/Kg - Picloram 240 g /L,HERBICIDAS,Bolsas de 20 g,POTREROS
NUBUS VECOL 480 SL,Bentazon 480 gr/L,HERBICIDAS,"Envases de 100, 250 y 500 cc, 1 y 4 litros.",ARROZ
OXACLOR VECOL 580 EC,Oxadiazon 250 gr/L – Prethilachlor 330 g/L,HERBICIDAS,"Envases 500 cc, 1,4 y 20 litros.",ARROZ
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",BANANO
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",CACAO
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",CAFÉ
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",CITRICOS
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",FRUTALES
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",PALMA AFRICANA
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",UVA
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",ALGODÓN
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",CAÑA
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",PAPA
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",MAÍZ
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",TOMATE
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",FRIJOL
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",SORJO
PARAQUAT VECOL 200 SL,Paraquat 200 g/L,HERBICIDAS,"Frascos de 1, 4 y 20 Litros",ARROZ
PERAGUS VECOL 180 E.C.,Cyhalofop-Butyl 180 gGr/L,HERBICIDAS,"Frascos por 100, 250 y 500 cc, 1, 4 y 20 Litros",ARROZ
PENDIMETALINA VECOL 400 EC,Pendimethalin: 400 gr/L,HERBICIDAS,Envases de 1 y 4 litros,ARROZ
PENDIMETALINA VECOL 400 EC,Pendimethalin: 400 gr/L,HERBICIDAS,Envases de 1 y 4 litros,MAIZ
"PICLORAM + 2,4-D AMINA VECOL SL","Picloram 64g/L   2,4D 240g/L",HERBICIDAS,Envase 1 litro,ARROZ
"PICLORAM + 2,4-D AMINA VECOL SL","Picloram 64g/L   2,4D 240g/L",HERBICIDAS,Envase 1 litro,POTREROS
PROPIMORF® VECOL 600 SC,Propamocarb H-Cl 300g/L      Dimethomorph 300g/L,FUNGICIDAS,"Envase 500 ml, 1 y 4 Litros",ROSAS
PROPIMORF® VECOL 600 SC,Propamocarb H-Cl 300g/L      Dimethomorph 300g/L,FUNGICIDAS,"Envase 500 ml, 1 y 4 Litros",TOMATE
PROPIMORF® VECOL 600 SC,Propamocarb H-Cl 300g/L      Dimethomorph 300g/L,FUNGICIDAS,"Envase 500 ml, 1 y 4 Litros",PAPA
PROPIMORF® VECOL 600 SC,Propamocarb H-Cl 300g/L      Dimethomorph 300g/L,FUNGICIDAS,"Envase 500 ml, 1 y 4 Litros",AGUACATE
PROPINEB VECOL 70% WP,Propineb: 700 gr/Kg,FUNGICIDAS,"Bolsa por 400 gramos, 5, 10 y 25  kilos",ARROZ
PROPINEB VECOL 70% WP,Propineb: 700 gr/Kg,FUNGICIDAS,"Bolsa por 400 gramos, 5, 10 y 25  kilos",PAPA
PROPIXANIL VECOL 76% WP.,Propineb: 700 gr/Kg - Cymoxanil: 60 gr/Kg,FUNGICIDAS,Bolsas de 500 g y de 1 kilogramo,PAPA
RIZZOPRID VECOL 246 FS,Imidacloprid: 233 Gramos/ Litro-  Tebuconazole: 13 Gramos/ Litro,INSECTICCIDAS,"Frascos por 1, 4, 20, 60 y 200 Litros.",ARROZ
SUKOY VECOL 600 SC,Carbendazim 500 gr/L - Ciproconazole 100 gr/L,FUNGICIDAS,"Frascos por 200 ml y 1, 4 y 20 Litros",CAFÉ
SUKOY VECOL 600 SC,Carbendazim 500 gr/L - Ciproconazole 100 gr/L,FUNGICIDAS,"Frascos por 200 ml y 1, 4 y 20 Litros",TOMATE
TEBUTROBIN VECOL 300 SC,Azoxystrobin: 100 gr/L - Tebuconazol: 200 gr/L,FUNGICIDAS,"Envases de 500 mL, 1, 4 y 20 litros",ARROZ
TEBUTROBIN VECOL 300 SC,Azoxystrobin: 100 gr/L - Tebuconazol: 200 gr/L,FUNGICIDAS,"Envases de 500 mL, 1, 4 y 20 litros",ALGODÓN
TEBUTROBIN VECOL 300 SC,Azoxystrobin: 100 gr/L - Tebuconazol: 200 gr/L,FUNGICIDAS,"Envases de 500 mL, 1, 4 y 20 litros",TOMATE
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",ARROZ
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",CEBOLLA
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",PAPA
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",PALMA
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",ALGODÓN
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",POTREROS
THIAMETHOXAN TOP VECOL 247 SC,Thiamethoxam 141 gr/L + Lambdacialotrina 106 gr/L,INSECTICIDAS,"Frascos por 100, 250 y 500 c.c. y 1 y 4 Litros",CLAVEL
TROPERO VECOL 400 SC,Imidacloprid: 350 gr/L - Lufenuron: 50 gr/L,INSECTICIDAS,"Envases de 100 y 250 cc, 500 ml, 1, 4 y 20 Litros",TOMATE
TROPERO VECOL 400 SC,Imidacloprid: 350 gr/L - Lufenuron: 50 gr/L,INSECTICIDAS,"Envases de 100 y 250 cc, 500 ml, 1, 4 y 20 Litros",ALGODÓN
TRYCICLAZOL VECOL 75% WP,Tryciclazol: 750 gr/ Kg,FUNGICIDAS,Bolsa por 1 kilo,ARROZ
VAKIANO® VECOL 650 SC,Difenoconazole 75 g/Litro - Propiconazole 75 g/Litro - Isoprothiolane  500 g/Litro,FUNGICIDA,"Envase por 500 ml., 1, 4, y 20 Litros",ARROZ
XPLANE VECOL 500 SC,Azoxystrobin 250 gr/litro-Flutriafol 250gr/litro,FUNGICIDA,"Envase por 250, 500 ml., 1, 4, y 20 Litros",TOMATE
XPLANE VECOL 500 SC,Azoxystrobin 250 gr/litro-Flutriafol 250gr/litro,FUNGICIDA,"Envase por 250, 500 ml., 1, 4, y 20 Litros",ARROZ
XPLANE VECOL 500 SC,Azoxystrobin 250 gr/litro-Flutriafol 250gr/litro,FUNGICIDA,"Envase por 250, 500 ml., 1, 4, y 20 Litros",AGUACATE
